NCM;EX;DESCRIÄ«O;AL÷QUOTA;
0303.64.00;;-- Hadoque (Arinca*) (Melanogrammus aeglefinus) ;0;
0303.65.00;;-- Saithe (Escamudo*) (Pollachius virens) ;0;
0303.66.00;;-- Merluzas (Pescadas*) e abr¢teas (Merluccius spp., Urophycis spp.) ;0;
0303.67.00;;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma) ;0;
0303.68.00;;-- Verdinhos (Micromesistius poutassou, Micromesistius australis) ;0;
303.69;;-- Outros;;
0303.69.10;;Merluza rosada (Macruronus magellanicus) ;0;
0303.69.90;;Outros ;0;
0303.8;;- Outros peixes, exceto subprodutos comest°veis de peixes das subposiá‰es 0303.91 a 0303.99:;;
0303.81;;-- Caá∆o e outros tubar‰es;;
0303.81.1;;Tubar∆o-azul (Prionace glauca);;
0303.81.11;;Inteiro ;0;
0303.81.12;;Eviscerado, sem cabeáa e sem barbatanas ;0;
0303.81.13;;Em pedaáos, com pele ;0;
0303.81.14;;Em pedaáos, sem pele ;0;
0303.81.19;;Outros ;0;
0303.81.90;;Outros ;0;
0303.82.00;;-- Raias (Rajidae) ;0;
0303.83;;-- Merluza negra e merluza ant†rtica (Marlongas*) (Dissostichus spp.);;
0303.83.1;;Merluza negra (Dissostichus eleginoides);;
0303.83.11;;Evisceradas, sem cabeáa e sem cauda ;0;
0303.83.19;;Outras ;0;
0303.83.2;;Merluza ant†rtica (Dissostichus mawsoni);;
0303.83.21;;Evisceradas, sem cabeáa e sem cauda ;0;
0303.83.29;;Outras ;0;
0303.84.00;;-- Robalos (Dicentrarchus spp.) ;0;
303.89;;-- Outros;;
0303.89.10;;Corvina (Micropogonias furnieri) ;0;
0303.89.20;;Pescadas (Cynoscion spp.) ;0;
0303.89.3;;Pargo (Lutjanus purpureus) e peixe-sapo (Lophius gastrophysus);;
0303.89.32;;Pargo (Lutjanus purpureus) ;0;
0303.89.33;;Peixe-sapo (Lophius gastrophysus) ;0;
0303.89.4;;Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), tainhas (Mugil spp.), esturj‰es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus), peixes-rei (Atherina spp.) e nototenias (Patagonotothen spp.);;
0303.89.41;;Cherne-poveiro (Polyprion americanus) ;0;
0303.89.42;;Garoupas (Acanthistius spp.) ;0;
0303.89.43;;Tainhas (Mugil spp.) ;0;
0303.89.44;;Esturj‰es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus) ;0;
0303.89.45;;Peixes-rei (Atherina spp.) ;0;
0303.89.46;;Nototenias (Patagonotothen spp.) ;0;
0303.89.5;;"Curimat∆s (Prochilodus spp.), til†pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h°bridos), surubins (Pseudoplatystoma spp.), tra°ra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.) e pirarucu (Arapaima gigas)";;
0303.89.51;;Curimat∆s (Prochilodus spp.) ;0;
0303.89.52;;"Til†pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h°bridos) ";0;
0303.89.53;;Surubins (Pseudoplatystoma spp.) ;0;
0303.89.54;;Tra°ra (Hoplias malabaricus & H. cf. lacerdae) ;0;
0303.89.55;;Piaus (Leporinus spp.) ;0;
0303.89.56;;Pirarucu (Arapaima gigas) ;0;
0303.89.6;;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (h°brido de tambaqui e pacu);;
0303.89.61;;Piramutaba (Brachyplatystoma vaillantii) ;0;
0303.89.62;;Dourada (Brachyplatystoma flavicans) ;0;
0303.89.63;;Pacu (Piaractus mesopotamicus) ;0;
0303.89.64;;Tambaqui (Colossoma macropomum) ;0;
0303.89.65;;Tambacu (h°brido de tambaqui e pacu) ;0;
0303.89.90;;Outros ;0;
0303.9;;- F°gados, ovas, gìnadas masculinas, barbatanas, cabeáas, caudas, bexigas-natat¢rias e outros subprodutos comest°veis de peixes:;;
0303.91;;-- F°gados, ovas e gìnadas masculinas ;;
0303.91.10;;       Ovas de tainhas (Mugil spp.);0;
0303.91.90;;       Outros;0;
0303.92.00;;-- Barbatanas de tubar∆o ;0;
303.99;;-- Outros;;
0303.99.10;;Cabeáas de Merluza negra (Dissostichus eleginoides) ;0;
0303.99.20;;Cabeáas de Merluza ant†rtica (Dissostichus mawsoni) ;0;
0303.99.90;;Outros ;0;
03.04;;FilÇs (filetes) de peixes e outra carne de peixes (mesmo picada), frescos, refrigerados ou congelados.;;
0304.3;;- FilÇs (filetes) de til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa-de-serpente (Channa spp.), frescos ou refrigerados:;;
0304.31.00;;-- Til†pias (Oreochromis spp.) ;0;
304.32;;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);;
0304.32.10;;Bagre americano (Ictalurus punctatus) ;0;
0304.32.90;;Outros ;0;
0304.33.00;;-- Perca-do-nilo (Lates niloticus) ;0;
0304.39.00;;-- Outros ;0;
0304.4;;- FilÇs (filetes) de outros peixes, frescos ou refrigerados:;;
0304.41.00;;-- Salm‰es-do-pac°fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salm∆o-do-atlÉntico (Salmo salar) e salm∆o-do-dan£bio (Hucho hucho) ;0;
0304.42.00;;"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita,
Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) ";0;
0304.43.00;;-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae) ;0;
0304.44.00;;"-- Peixes das fam°lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae,
Merlucciidae, Moridae e Muraenolepididae ";0;
0304.45.00;;-- Espadarte (Xiphias gladius) ;0;
0304.46.00;;-- Merluza negra e merluza ant†rtica (Marlongas*) (Dissostichus spp.) ;0;
0304.47.00;;-- Caá∆o e outros tubar‰es ;0;
0304.48.00;;-- Raias (Rajidae) ;0;
304.49;;-- Outros;;
0304.49.10;;Cherne-poveiro (Polyprion americanus) ;0;
0304.49.20;;Garoupas (Acanthistius spp.) ;0;
0304.49.90;;Outros ;0;
304.5;;- Outros, frescos ou refrigerados:;;
0304.51.00;;-- Til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa de-serpente (Channa spp.) ;0;
0304.52.00;;-- Salmon°deos ;0;
0304.53.00;;-- Peixes das fam°lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae ;0;
0304.54.00;;-- Espadarte (Xiphias gladius) ;0;
0304.55.00;;-- Merluza negra e merluza ant†rtica (Marlongas*) (Dissostichus spp.) ;0;
0304.56.00;;-- Caá∆o e outros tubar‰es ;0;
0304.57.00;;-- Raias (Rajidae) ;0;
0304.59.00;;-- Outros ;0;
0304.6;;- FilÇs (filetes) de til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa-de-serpente (Channa spp.), congelados:;;
0304.61.00;;-- Til†pias (Oreochromis spp.) ;0;
304.62;;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);;
0304.62.10;;Bagre americano (Ictalurus punctatus) ;0;
0304.62.90;;Outros ;0;
0304.63.00;;-- Perca-do-nilo (Lates niloticus) ;0;
0304.69.00;;-- Outros ;0;
0304.7;;- FilÇs (filetes) de peixes das fam°lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, congelados:;;
0304.71.00;;-- Bacalhau-do-atlÉntico (Gadus morhua), bacalhau-da-groelÉndia (Gadus ogac) e bacalhau-do-pac°fico (Gadus macrocephalus) ;0;
0304.72.00;;-- Hadoque (Arinca*) (Melanogrammus aeglefinus) ;0;
0304.73.00;;-- Saithe (Escamudo*) (Pollachius virens) ;0;
0304.74.00;;-- Merluzas (Pescadas*) e abr¢teas (Merluccius spp., Urophycis spp.) ;0;
0304.75.00;;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma) ;0;
0304.79.00;;-- Outros ;0;
0304.8;;- FilÇs (filetes) de outros peixes, congelados:;;
0304.81.00;;-- Salm‰es-do-pac°fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salm∆o-do-atlÉntico (Salmo salar) e salm∆o-do-dan£bio (Hucho hucho) ;0;
0304.82.00;;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) ;0;
0304.83.00;;-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae) ;0;
0304.84.00;;-- Espadarte (Xiphias gladius) ;0;
0304.85;;-- Merluza negra e merluza ant†rtica (Marlongas*) (Dissostichus spp.);;
0304.85.10;;Merluza negra (Dissostichus eleginoides) ;0;
0304.85.20;;Merluza ant†rtica (Dissostichus mawsoni) ;0;
0304.86.00;;-- Arenques (Clupea harengus, Clupea pallasii) ;0;
0304.87.00;;-- Atuns (do gànero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis) ;0;
0304.88;;-- Caá∆o e outros tubar‰es, raias (Rajidae);;
0304.88.10;;Tubar∆o-azul (Prionace glauca) ;0;
0304.88.90;;Outros ;0;
0304.89;;-- Outros;;
0304.89.10;;Pargo (Lutjanus purpureus) ;0;
0304.89.20;;Cherne-poveiro (Polyprion americanus) ;0;
0304.89.30;;Garoupas (Acanthistius spp.) ;0;
0304.89.90;;Outros ;0;
0304.9;;- Outros, congelados:;;
0304.91.00;;-- Espadarte (Xiphias gladius) ;0;
0304.92;;-- Merluza negra e merluza ant†rtica (Marlongas*) (Dissostichus spp.);;
0304.92.1;;Merluza negra (Dissostichus eleginoides);;
0304.92.11;;Bochechas (cheeks) ;0;
0304.92.12;;Colares (collars) ;0;
0304.92.19;;Outros ;0;
0304.92.2;;Merluza ant†rtica (Dissostichus mawsoni);;
0304.92.21;;Bochechas (cheeks) ;0;
0304.92.22;;Colares (collars) ;0;
0304.92.29;;Outros ;0;
0304.93.00;;-- Til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa de-serpente (Channa spp.) ;0;
0304.94.00;;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma) ;0;
0304.95.00;;-- Peixes das fam°lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto a polaca-do-alasca (escamudo-do-alasca*) (Theragra chalcogramma) ;0;
0304.96.00;;-- Caá∆o e outros tubar‰es ;0;
0304.97.00;;-- Raias (Rajidae) ;0;
0304.99.00;;-- Outros ;0;
03.05;;"Peixes secos, salgados ou em salmoura; peixes defumados (fumados), mesmo cozidos antes ou durante a defumaá∆o.";;
0305.20;;- F°gados, ovas e gìnadas masculinas, de peixes, secos, defumados (fumados), salgados ou em salmoura ;;
0305.20.10;;    Ovas de tainhas (Mugil spp.);0;
0305.20.90;;    Outros;0;
0305.3;;- FilÇs (filetes) de peixes, secos, salgados ou em salmoura, mas n∆o defumados (fumados):;;
0305.31.00;;-- Til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa de-serpente (Channa spp.) ;0;
0305.32;;-- Peixes das fam°lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae;;
0305.32.10;;Bacalhau-do-atlÉntico (Gadus morhua), bacalhau-da-groelÉndia (Gadus ogac) e bacalhau-do-pac°fico (Gadus macrocephalus) ;0;
0305.32.20;;Saithe (Pollachius virens) ;0;
0305.32.30;;Ling (Molva molva) e zarbo (Brosme brosme) ;0;
0305.32.90;;Outros ;0;
0305.39.00;;-- Outros ;0;
0305.4;;- Peixes defumados (fumados), mesmo em filÇs (filetes), exceto subprodutos comest°veis de peixes:;;
0305.41.00;;-- Salm‰es-do-pac°fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salm∆o-do-atlÉntico (Salmo salar) e salm∆o-do-dan£bio (Hucho hucho) ;3,25;
0305.42.00;;-- Arenques (Clupea harengus, Clupea pallasii) ;3,25;
0305.43.00;;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) ;0;
0305.44.00;;-- Til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa de-serpente (Channa spp.) ;0;
0305.49;;-- Outros;;
0305.49.10;;Bacalhau-do-atlÉntico (Gadus morhua), bacalhau-da-groelÉndia (Gadus ogac) e bacalhau-do-pac°fico (Gadus macrocephalus) ;3,25;
0305.49.20;;Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme) ;0;
0305.49.90;;Outros ;0;
0305.5;;- Peixes secos, exceto subprodutos comest°veis de peixes, mesmo salgados, mas n∆o defumados (fumados):;;
0305.51.00;;-- Bacalhau-do-atlÉntico (Gadus morhua), bacalhau-da-groelÉndia (Gadus ogac) e bacalhau-do-pac°fico (Gadus macrocephalus) ;3,25;
0305.52.00;;-- Til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa de-serpente (Channa spp.) ;3,25;
0305.53;;-- Peixes das fam°lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto bacalhau (Gadus morhua, Gadus ogac, Gadus macrocephalus);;
0305.53.10;;Bacalhau polar (Boreogadus saida), saithe (Pollachius virens), ling (Molva molva), ling azul (Molva dypterygia), zarbo (Brosme brosme), abrotea-do-alto (Urophycis blennoides) e hadoque (Melanogrammus aeglefinus) ;3,25;
0305.53.90;;Outros ;3,25;
0305.54.00;;-- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueir‰es*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-°ndico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xarÇus (Caranx spp.), bijupir† (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulh∆o-do-jap∆o (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae)   ;3,25;
0305.59.00;;-- Outros ;3,25;
0305.6;;- Peixes salgados, n∆o secos nem defumados (fumados) e peixes em salmoura, exceto subprodutos comest°veis de peixes:;;
0305.61.00;;-- Arenques (Clupea harengus, Clupea pallasii) ;3,25;
0305.62.00;;-- Bacalhau-do-atlÉntico (Gadus morhua), bacalhau-da-groelÉndia (Gadus ogac) e bacalhau-do-pac°fico (Gadus macrocephalus) ;3,25;
0305.63.00;;-- Anchovas (Biqueir‰es*) (Engraulis spp.) ;0;
0305.64.00;;-- Til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa de-serpente (Channa spp.) ;0;
305.69;;-- Outros;;
0305.69.10;;Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme) ;0;
0305.69.90;;Outros ;0;
0305.7;;- Barbatanas, cabeáas, caudas, bexigas-natat¢rias e outros subprodutos comest°veis de peixes:;;
0305.71.00;;-- Barbatanas de tubar∆o ;0;
0305.71.00;01;De tubar∆o seco, mesmo salgado mas n∆o defumado;3,25;
0305.72.00;;-- Cabeáas, caudas e bexigas-natat¢rias, de peixes ;3,25;
0305.72.00;01;De peixes defumados, mesmo em filÇs, exceto dos c¢digos 0305.41.00, 0305.42.00 e 0305.49.10;0;
0305.72.00;02;"De peixes salgados, n∆o secos nem defumados e peixes em salmoura, exceto dos c¢digos
0305.61.00 e 0305.62.00";0;
0305.79.00;;-- Outros ;3,25;
0305.79.00;01;De peixes defumados, mesmo em filÇs, exceto dos c¢digos 0305.41.00, 0305.42.00 e 0305.49.10;0;
0305.79.00;02;"De peixes salgados, n∆o secos nem defumados e peixes em salmoura, exceto dos c¢digos
0305.61.00 e 0305.62.00";0;
03.06;;"Crust†ceos, mesmo com casca, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; crust†ceos, mesmo com casca, defumados (fumados), mesmo cozidos antes ou durante a defumaá∆o; crust†ceos com casca, cozidos em †gua ou vapor, mesmo refrigerados, congelados, secos, salgados ou em salmoura.";;
0306.1;;- Congelados:;;
0306.11;;-- Lagostas (Palinurus spp., Panulirus spp., Jasus spp.);;
0306.11.10;;Inteiras ;0;
0306.11.90;;Outras ;0;
0306.12.00;;-- Lavagantes (Homarus spp.) ;0;
0306.14.00;;-- Caranguejos ;0;
0306.15.00;;-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus) ;0;
0306.16;;-- Camar‰es de †gua fria (Pandalus spp., Crangon crangon);;
0306.16.10;;Inteiros ;0;
0306.16.90;;Outros ;0;
0306.17;;-- Outros camar‰es;;
0306.17.10;;Inteiros ;0;
0306.17.90;;Outros ;0;
306.19;;-- Outros;;
0306.19.10;;Krill (Euphausia superba) ;0;
0306.19.90;;Outros ;0;
0306.3;;- Vivos, frescos ou refrigerados:;;
0306.31.00;;-- Lagostas (Palinurus spp., Panulirus spp., Jasus spp.) ;0;
0306.32.00;;-- Lavagantes (Homarus spp.) ;0;
0306.33.00;;-- Caranguejos ;0;
0306.34.00;;-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus) ;0;
0306.35.00;;-- Camar‰es de †gua fria (Pandalus spp., Crangon crangon) ;0;
0306.36.00;;-- Outros camar‰es ;0;
0306.39;;-- Outros;;
0306.39.10;;Lagosta de †gua doce (Cherax quadricarinatus) ;0;
0306.39.90;;Outros ;0;
0306.9;;- Outros:;;
0306.91.00;;-- Lagostas (Palinurus spp., Panulirus spp., Jasus spp.) ;0;
0306.92.00;;-- Lavagantes (Homarus spp.) ;0;
0306.93.00;;-- Caranguejos ;0;
0306.94.00;;-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus) ;0;
0306.95.00;;-- Camar‰es ;0;
0306.99;;-- Outros;;
0306.99.10;;Lagosta de †gua doce (Cherax quadricarinatus) ;0;
0306.99.90;;Outros ;0;
03.07;;"Moluscos, mesmo com concha, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; moluscos, mesmo com concha, defumados (fumados), mesmo cozidos antes ou durante a defumaá∆o.";;
0307.1;;- Ostras:;;
0307.11.00;;-- Vivas, frescas ou refrigeradas ;0;
0307.12.00;;-- Congeladas ;0;
0307.19.00;;-- Outras ;0;
0307.2;;- Vieiras e outros moluscos da fam°lia Pectinidae:;;
0307.21.00;;-- Vivos, frescos ou refrigerados ;0;
0307.22.00;;-- Congelados ;0;
0307.29.00;;-- Outros ;0;
307.3;;- Mexilh‰es (Mytilus spp., Perna spp.):;;
0307.31.00;;-- Vivos, frescos ou refrigerados ;0;
0307.32.00;;-- Congelados ;0;
0307.39.00;;-- Outros ;0;
307.4;;"- SÇpias (Chocos*) (Chocos e chopos*); lulas (potas e lulas*):";;
0307.42.00;;-- Vivas, frescas ou refrigeradas ;0;
307.43;;-- Congeladas;;
0307.43.10;;Lulas ;0;
0307.43.20;;SÇpias ;0;
0307.49.00;;-- Outras ;0;
307.5;;- Polvos (Octopus spp.):;;
0307.51.00;;-- Vivos, frescos ou refrigerados ;0;
0307.52.00;;-- Congelados ;0;
0307.59.00;;-- Outros ;0;
0307.60.00;;- Carac¢is, exceto os do mar ;0;
0307.7;;"- Amàijoas, berbig‰es e arcas (fam°lias Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae,
Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae e Veneridae):";;
0307.71.00;;-- Vivos, frescos ou refrigerados ;0;
0307.72.00;;-- Congelados ;0;
0307.79.00;;-- Outros ;0;
0307.8;;- Abalones (Orelhas-do-mar*) (Haliotis spp.) e estrombos (Strombus spp.):;;
0307.81.00;;-- Abalones (Orelhas-do-mar*) (Haliotis spp.) vivos, frescos ou refrigerados ;0;
0307.82.00;;-- Estrombos (Strombus spp.) vivos, frescos ou refrigerados ;0;
0307.83.00;;-- Abalones (Orelhas-do-mar*) (Haliotis spp.) congelados ;0;
0307.84.00;;-- Estrombos (Strombus spp.) congelados ;0;
0307.87.00;;-- Outros abalones (orelhas-do-mar*) (Haliotis spp.) ;0;
0307.88.00;;-- Outros estrombos (Strombus spp.) ;0;
0307.9;;- Outros:;;
0307.91.00;;-- Vivos, frescos ou refrigerados ;0;
0307.92.00;;-- Congelados ;0;
0307.99.00;;-- Outros ;0;
03.08;;"Invertebrados aqu†ticos, exceto crust†ceos e moluscos, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; invertebrados aqu†ticos, exceto crust†ceos e moluscos, defumados (fumados), mesmo cozidos antes ou durante a defumaá∆o.";;
